                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.98188,                 3.4034,                0.33579,                0.82526,                  1.164,                0.83755,                0.77361,                0.87246,                0.63818,                0.81351,                0.67106,                 0.7321,                 0.4196,                 0.9626,                 3.0063,                0.32516,                0.74662,                 1.1348,               0.002773,               0.002773,               0.002773
                     76,                0.97043,                 3.4135,                 0.3365,                0.81856,                 1.1586,                0.84036,                 0.7734,                0.87248,                0.63852,                0.79599,                0.68228,                0.73422,                0.41968,                0.96461,                 2.9901,                0.32497,                0.74422,                 1.1367,               0.002674,               0.002674,               0.002674
                     77,                0.96718,                 3.3826,                0.33543,                0.80807,                 1.1581,                0.83618,                0.77818,                 0.8727,                 0.6376,                0.80361,                0.67487,                0.73059,                0.41953,                0.96277,                 2.9947,                0.32428,                0.74601,                 1.1379,               0.002575,               0.002575,               0.002575
                     78,                0.96907,                  3.376,                0.33646,                0.81394,                 1.1586,                0.84362,                0.77236,                0.87348,                 0.6399,                0.80528,                0.68157,                0.73463,                 0.4202,                0.96027,                 2.9922,                0.32402,                0.74041,                 1.1361,               0.002476,               0.002476,               0.002476
                     79,                0.96235,                 3.3789,                0.33481,                0.81118,                 1.1551,                0.83944,                0.77743,                0.87287,                0.63918,                0.79521,                0.69231,                0.73691,                0.42078,                0.95822,                 2.9848,                0.32381,                0.73872,                 1.1346,               0.002377,               0.002377,               0.002377
                     80,                0.95566,                 3.2965,                0.33227,                 0.7937,                 1.1479,                0.83583,                0.77795,                0.87286,                0.63957,                0.81006,                0.68225,                0.74056,                0.42225,                0.96089,                 2.9807,                0.32402,                0.73681,                 1.1348,               0.002278,               0.002278,               0.002278
                     81,                 0.9632,                 3.3289,                0.33536,                0.80963,                 1.1556,                0.82927,                0.78311,                0.87119,                0.64061,                0.79214,                0.68694,                0.73561,                0.42328,                0.95975,                 2.9799,                0.32327,                0.73901,                 1.1346,               0.002179,               0.002179,               0.002179
                     82,                0.95704,                 3.2974,                0.33096,                0.80199,                 1.1514,                0.83228,                0.78265,                0.87302,                0.64219,                0.78984,                 0.6908,                0.73517,                0.42494,                0.95798,                  2.964,                0.32304,                0.73726,                 1.1342,                0.00208,                0.00208,                0.00208
                     83,                0.95574,                 3.3253,                0.33215,                0.79967,                 1.1514,                0.83003,                0.78444,                0.87391,                0.64236,                0.78946,                0.69258,                0.73646,                0.42301,                0.95453,                 2.9623,                  0.323,                0.74216,                 1.1325,               0.001981,               0.001981,               0.001981
                     84,                0.95796,                 3.2807,                0.33212,                0.79964,                 1.1492,                 0.8409,                0.77124,                0.87368,                0.64348,                0.80011,                0.68336,                0.73447,                0.42315,                0.95642,                 2.9571,                0.32287,                0.74177,                  1.133,               0.001882,               0.001882,               0.001882
